event_time,weight,outcome_group,outcome_type,treat_mean,control_mean
6,uw,diab_cardiac,rx,0.870057155997078,0.826778485705164
-4,uw,all,rx,0.392569533380142,0.374520047121223
-3,uw,all,rx,0.453773315905255,0.424640558668981
-2,uw,all,rx,0.504964763201136,0.467224772143093
-1,uw,all,rx,0.553886192845048,0.500456730208838
0,uw,all,rx,0.671463497094081,0.562856449623417
1,uw,all,rx,0.758682115261546,0.622267092797171
2,uw,all,rx,0.814704679680053,0.677732719793545
3,uw,all,rx,0.83219386502688,0.682043805584956
4,uw,all,rx,0.9513402799807,0.739126485730631
5,uw,all,rx,1.11377636283939,0.824477927257967
6,uw,all,rx,1.36437671312866,0.831421165420084
-4,uw,obesity,net_spending,21.6062771924016,0.391578716442259
-3,uw,obesity,net_spending,27.2256798151957,0.615352856223402
-2,uw,obesity,net_spending,30.1334451904462,0.65421797809879
-1,uw,obesity,net_spending,45.5340320731311,0.783894568540711
0,uw,obesity,net_spending,94.271841978787,1.16373559382837
1,uw,obesity,net_spending,143.962980113582,1.32818764047584
2,uw,obesity,net_spending,141.882557310366,1.30426383328865
3,uw,obesity,net_spending,156.384352299565,1.09008044414166
4,uw,obesity,net_spending,220.164076304117,1.29865936751431
5,uw,obesity,net_spending,331.475216477581,2.23772919821998
6,uw,obesity,net_spending,460.738330121919,4.11387158032705
-4,uw,diab_cardiac,net_spending,155.489941943223,169.987522202418
-3,uw,diab_cardiac,net_spending,190.92398460126,202.953343819422
-2,uw,diab_cardiac,net_spending,216.027219328841,237.2761287978
-1,uw,diab_cardiac,net_spending,226.133478510155,259.357249972432
0,uw,diab_cardiac,net_spending,261.348959166842,300.816705536695
1,uw,diab_cardiac,net_spending,292.887307265979,352.54825087143
2,uw,diab_cardiac,net_spending,333.186890683221,393.788758075556
3,uw,diab_cardiac,net_spending,345.957078612184,406.166735799851
4,uw,diab_cardiac,net_spending,395.722847930282,450.249794303842
5,uw,diab_cardiac,net_spending,437.810586829016,511.399162440931
6,uw,diab_cardiac,net_spending,528.92290529073,520.486770158197
-4,uw,all,net_spending,177.096219135625,170.37910091886
-3,uw,all,net_spending,218.149664416456,203.568696675646
-2,uw,all,net_spending,246.160664519287,237.930346775899
-1,uw,all,net_spending,271.667510583286,260.141144540973
0,uw,all,net_spending,355.620801145629,301.980441130523
1,uw,all,net_spending,436.850287379561,353.876438511906
2,uw,all,net_spending,475.069447993587,395.093021908844
3,uw,all,net_spending,502.341430911749,407.256816243993
4,uw,all,net_spending,615.886924234399,451.548453671356
5,uw,all,net_spending,769.285803306598,513.63689163915
6,uw,all,net_spending,989.661235412649,524.600641738523
-4,uw,ce,spending,9.0659941812666,11.1053728601586
-3,uw,ce,spending,9.5031443578615,12.0721042103483
-2,uw,ce,spending,10.5170430341512,13.3975718290416
-1,uw,ce,spending,11.5671467097026,14.7429223339738
0,uw,ce,spending,13.591984541762,16.5529090725459
1,uw,ce,spending,15.0859934458006,19.0116531132917
2,uw,ce,spending,17.1455747891679,22.302969244695
3,uw,ce,spending,22.325606442633,26.7953161991095
4,uw,ce,spending,29.2704309692103,33.0162026608028
5,uw,ce,spending,36.7401067851691,40.9510333728964
6,uw,ce,spending,45.9836557849399,48.9427644317365
-4,emw,obesity,spending,18.3226035235889,0.600004762031912
-3,emw,obesity,spending,27.5217776815057,0.703003452921782
-2,emw,obesity,spending,36.0062594333167,0.699929316578543
-1,emw,obesity,spending,47.8283132091729,0.705971147096218
0,emw,obesity,spending,127.260351692379,1.09771602164436
1,emw,obesity,spending,209.757686790248,1.2608856472131
2,emw,obesity,spending,221.628117405106,1.04255696582676
3,emw,obesity,spending,191.053317505068,0.769079017105251
4,emw,obesity,spending,271.288292153118,0.799778240052983
5,emw,obesity,spending,430.319279541721,1.63845885806035
6,emw,obesity,spending,723.047918978483,3.18069932871482
-4,emw,diab_cardiac,spending,296.506526252977,330.486542382336
-3,emw,diab_cardiac,spending,376.48962897745,374.666543619171
-2,emw,diab_cardiac,spending,460.274851773646,418.819449016968
-1,emw,diab_cardiac,spending,443.246653720901,440.134567787312
0,emw,diab_cardiac,spending,545.864544083411,516.658457575381
1,emw,diab_cardiac,spending,566.18937674291,602.788999755923
2,emw,diab_cardiac,spending,735.223085292342,631.285824036483
3,emw,diab_cardiac,spending,685.746726482153,621.297651172498
4,emw,diab_cardiac,spending,782.512463212568,648.076005482264
5,emw,diab_cardiac,spending,796.930357719171,792.12473482157
6,emw,diab_cardiac,spending,1013.21441861378,770.503545530854
-4,emw,all,spending,314.829129776566,331.086547144368
-3,emw,all,spending,404.011406658954,375.369547072093
-2,emw,all,spending,496.281111206962,419.519378333546
-1,emw,all,spending,491.074966930074,440.840538934409
0,emw,all,spending,673.124895775789,517.756173597026
1,emw,all,spending,775.947063533156,604.049885403136
2,emw,all,spending,956.851202697447,632.32838100231
3,emw,all,spending,876.800043987221,622.066730189603
4,emw,all,spending,1053.80075536568,648.875783722318
5,emw,all,spending,1227.24963726089,793.76319367963
6,emw,all,spending,1736.26233759226,773.684244859568
-4,emw,obesity,rx,0.0138952096506918,0.000464614778530699
-3,emw,obesity,rx,0.0209803860503997,0.000555811683938385
-2,emw,obesity,rx,0.0275709277109238,0.000577990622348016
-1,emw,obesity,rx,0.0371171706960928,0.000570252167291683
0,emw,obesity,rx,0.0983708254618099,0.000867463306761047
1,emw,obesity,rx,0.162896593977506,0.000967944809103922
2,emw,obesity,rx,0.171518073433305,0.000821815791553237
3,emw,obesity,rx,0.150366140791341,0.00062280992379045
4,emw,obesity,rx,0.219225369259521,0.00066028632140035
5,emw,obesity,rx,0.347460279304252,0.0013687465321722
6,emw,obesity,rx,0.580518920437567,0.00264218210801607
-4,emw,diab_cardiac,rx,0.307452080932618,0.355846498685566
-3,emw,diab_cardiac,rx,0.381038186408349,0.403450647599776
-2,emw,diab_cardiac,rx,0.463949352457992,0.447323258928128
-1,emw,diab_cardiac,rx,0.455627679244726,0.46643886140618
0,emw,diab_cardiac,rx,0.54590122874743,0.529532322264569
1,emw,diab_cardiac,rx,0.565991347704378,0.60622085740158
2,emw,diab_cardiac,rx,0.728627013602718,0.629517732372686
3,emw,diab_cardiac,rx,0.684946511417669,0.619124233676856
4,emw,diab_cardiac,rx,0.765506986029004,0.649032350729445
5,emw,diab_cardiac,rx,0.782421992366615,0.79914993623168
6,emw,diab_cardiac,rx,0.984954912490648,0.773627162260941
-4,emw,all,rx,0.32134729058331,0.356311113464097
-3,emw,all,rx,0.402018572458749,0.404006459283714
-2,emw,all,rx,0.491520280168916,0.447901249550476
-1,emw,all,rx,0.492744849940819,0.467009113573472
0,emw,all,rx,0.644272054209241,0.53039978557133
1,emw,all,rx,0.728887941681883,0.607188802210684
2,emw,all,rx,0.900145087036023,0.630339548164239
3,emw,all,rx,0.83531265220901,0.619747043600647
4,emw,all,rx,0.984732355288525,0.649692637050845
5,emw,all,rx,1.12988227167087,0.800518682763853
6,emw,all,rx,1.56547383292822,0.776269344368958
-4,emw,obesity,net_spending,13.8306360598673,0.444944559347909
-3,emw,obesity,net_spending,21.0539310891931,0.529983411390314
-2,emw,obesity,net_spending,27.673301385398,0.524457997795224
-1,emw,obesity,net_spending,36.7956328304371,0.535672293602381
0,emw,obesity,net_spending,97.6103080325543,0.832812940945828
1,emw,obesity,net_spending,160.449499778351,0.953886206543025
2,emw,obesity,net_spending,169.701534555668,0.791002442600233
3,emw,obesity,net_spending,146.368604796372,0.585002095385846
4,emw,obesity,net_spending,207.97461572675,0.607062364195672
5,emw,obesity,net_spending,329.626089238531,1.23514787078771
6,emw,obesity,net_spending,554.574998833753,2.40507645283052
-4,emw,diab_cardiac,net_spending,140.937055600514,160.469823279312
-3,emw,diab_cardiac,net_spending,192.554604108362,192.514320984835
-2,emw,diab_cardiac,net_spending,245.156403922426,225.183712621838
-1,emw,diab_cardiac,net_spending,234.988671887163,240.034560559966
0,emw,diab_cardiac,net_spending,282.405454563755,278.856818010482
1,emw,diab_cardiac,net_spending,313.557486286812,352.801986341513
2,emw,diab_cardiac,net_spending,415.639256801223,375.555866546213
3,emw,diab_cardiac,net_spending,395.556380752283,374.249226129423
4,emw,diab_cardiac,net_spending,482.532099620417,406.346188915695
5,emw,diab_cardiac,net_spending,501.536932382335,505.823149417178
6,emw,diab_cardiac,net_spending,658.662954350963,496.256348152912
-4,emw,all,net_spending,154.767691660382,160.914767838659
-3,emw,all,net_spending,213.608535197555,193.044304396226
-2,emw,all,net_spending,272.829705307824,225.708170619633
-1,emw,all,net_spending,271.784304717601,240.570232853568
0,emw,all,net_spending,380.01576259631,279.689630951428
1,emw,all,net_spending,474.006986065163,353.755872548056
2,emw,all,net_spending,585.340791356891,376.346868988813
3,emw,all,net_spending,541.924985548655,374.834228224809
4,emw,all,net_spending,690.506715347167,406.953251279891
5,emw,all,net_spending,831.163021620865,507.058297287965
6,emw,all,net_spending,1213.23795318472,498.661424605742
-4,emw,ce,spending,9.9469862938053,10.0320434502094
-3,emw,ce,spending,10.1383162489668,10.6176632191794
-2,emw,ce,spending,11.1607625025875,11.8919861277455
-1,emw,ce,spending,11.9309725091278,12.9078931284691
0,emw,ce,spending,13.3570764456605,14.4239698690678
1,emw,ce,spending,14.8605924288808,16.3359352553493
2,emw,ce,spending,17.0679740652178,19.0709119329173
3,emw,ce,spending,20.6495989305329,22.8322851783129
4,emw,ce,spending,26.1437458169759,29.2349117942468
5,emw,ce,spending,31.6807657885281,36.0844510560566
6,emw,ce,spending,37.7096841085766,44.5723013015598
