event_time,weight,outcome_group,outcome_type,treat_mean,control_mean
-4,uw,obesity,spending,28.9178030944392,0.529998013818149
-3,uw,obesity,spending,35.8569815367414,0.822971437314783
-2,uw,obesity,spending,39.3105393817632,0.877081443392191
-1,uw,obesity,spending,59.2369067545456,1.03337080091245
0,uw,obesity,spending,123.19474665128,1.53647510824539
1,uw,obesity,spending,188.388731382342,1.75304692380815
2,uw,obesity,spending,185.673793875395,1.71890947634047
3,uw,obesity,spending,204.655888128535,1.43702535099857
4,uw,obesity,spending,287.500005421796,1.71296269506161
5,uw,obesity,spending,433.131436365592,2.96153343538457
6,uw,obesity,spending,601.858326944382,5.45728731144004
-4,uw,diab_cardiac,spending,340.176856381187,348.18354472022
-3,uw,diab_cardiac,spending,397.948653563413,398.276385908752
-2,uw,diab_cardiac,spending,437.315339307342,442.017184789435
-1,uw,diab_cardiac,spending,458.093333516127,476.639637217935
0,uw,diab_cardiac,spending,527.406997973157,543.997804165157
1,uw,diab_cardiac,spending,559.894445150987,603.771894303001
2,uw,diab_cardiac,spending,618.290423660734,659.65721410018
3,uw,diab_cardiac,spending,621.490155456059,662.942437368848
4,uw,diab_cardiac,spending,679.383738433499,715.73884031866
5,uw,diab_cardiac,spending,724.226844108339,796.837371295012
6,uw,diab_cardiac,spending,840.239187555883,800.303821469642
-4,uw,all,spending,369.094659475626,348.713542734038
-3,uw,all,spending,433.805635100154,399.099357346067
-2,uw,all,spending,476.625878689105,442.894266232827
-1,uw,all,spending,517.330240270673,477.673008018847
0,uw,all,spending,650.601744624437,545.534279273402
1,uw,all,spending,748.283176533329,605.524941226809
2,uw,all,spending,803.964217536129,661.37612357652
3,uw,all,spending,826.146043584593,664.379462719847
4,uw,all,spending,966.883743855295,717.451803013721
5,uw,all,spending,1157.35828047393,799.798904730397
6,uw,all,spending,1442.09751450026,805.761108781081
-4,uw,obesity,rx,0.0228409565905762,0.000417498351683205
-3,uw,obesity,rx,0.0283386444149994,0.000665399191667218
-2,uw,obesity,rx,0.0317018560606642,0.000706932199963377
-1,uw,obesity,rx,0.0480864059075172,0.000808291531104258
0,uw,obesity,rx,0.0988280908755674,0.00116766427709156
1,uw,obesity,rx,0.151015177804051,0.00128926327507022
2,uw,obesity,rx,0.148070978927593,0.00131429895987472
3,uw,obesity,rx,0.165397838051052,0.00113319481250621
4,uw,obesity,rx,0.23641328659625,0.00137983846344513
5,uw,obesity,rx,0.355289756173358,0.00243394417883064
6,uw,obesity,rx,0.494319557131582,0.00464267971492088
-4,uw,diab_cardiac,rx,0.369728576789566,0.37410254876954
-3,uw,diab_cardiac,rx,0.425434671490256,0.423975159477314
-2,uw,diab_cardiac,rx,0.473262907140472,0.466517839943129
-1,uw,diab_cardiac,rx,0.505799786937531,0.499648438677734
0,uw,diab_cardiac,rx,0.572635406218513,0.561688785346325
1,uw,diab_cardiac,rx,0.607666937457496,0.620977829522101
2,uw,diab_cardiac,rx,0.666633700752461,0.676418420833671
3,uw,diab_cardiac,rx,0.666796026975827,0.680910610772451
4,uw,diab_cardiac,rx,0.714926993384449,0.737746647267187
5,uw,diab_cardiac,rx,0.75848660666603,0.822043983079136
