event_time,estimate,se,ci_lower,ci_upper,weight,outcome_group,outcome_type
-4,-14.1668846365969,4.78610907577884,-23.5474860512037,-4.78628322199012,uw,obesity,spending
-3,-9.01550850699596,2.82304415025068,-14.5485733682538,-3.48244364573815,uw,obesity,spending
-2,-4.73162700410603,1.92358895936915,-8.50179208552844,-0.961461922683624,uw,obesity,spending
-1,0,,,,uw,obesity,spending
0,60.2607735444271,18.2235264884472,24.543317955759,95.9782291330953,uw,obesity,spending
1,142.48857783989,35.205462641501,73.4871390034776,211.490016676302,uw,obesity,spending
2,140.919216706128,26.7218874285393,88.5452797472572,193.293153664998,uw,obesity,spending
3,126.049735660971,26.1780327110587,74.7417343611849,177.357736960758,uw,obesity,spending
4,172.990188178906,31.8130813672098,110.637694461933,235.34268189588,uw,obesity,spending
5,309.826799709395,67.8721750642925,176.799781030984,442.853818387805,uw,obesity,spending
6,454.330578884172,107.236666421601,244.150574875699,664.510582892646,uw,obesity,spending
7,518.394295171363,119.993303473677,283.211741976971,753.576848365754,uw,obesity,spending
8,680.609572810875,149.563264950349,387.47096009797,973.74818552378,uw,obesity,spending
9,815.923652361552,174.35843551032,474.187398360575,1157.65990636253,uw,obesity,spending
-4,-20.0051828416072,22.6360416879855,-64.371009302606,24.3606436193917,uw,diab_cardiac,spending
-3,-7.79897680860086,16.1287302052594,-39.4107071272726,23.8127535100708,uw,diab_cardiac,spending
-2,-1.04010879503221,14.996152873469,-30.4320283336883,28.3518107436239,uw,diab_cardiac,spending
-1,0,,,,uw,diab_cardiac,spending
0,14.4037411427435,20.2535075962979,-25.2924043066088,54.0998865920957,uw,diab_cardiac,spending
1,-7.95203385112473,31.3135818389027,-69.3255264823216,53.4214587800721,uw,diab_cardiac,spending
2,23.7862642788459,46.9490455376447,-68.2321740834687,115.804702641161,uw,diab_cardiac,spending
3,3.17824752351589,34.3738197253812,-64.1932011493038,70.5496961963356,uw,diab_cardiac,spending
4,55.8752819915771,50.5926329353057,-43.284456444677,155.035020427831,uw,diab_cardiac,spending
5,-39.5129545001892,89.1452593169113,-214.234452153819,135.208543153441,uw,diab_cardiac,spending
6,69.8013798796274,76.6362976136568,-80.4030033516329,220.005763110888,uw,diab_cardiac,spending
7,28.5975591971164,64.9618442295712,-98.7253158621441,155.920434256377,uw,diab_cardiac,spending
8,90.5552965425741,87.3607754070711,-80.6686769167776,261.779270001926,uw,diab_cardiac,spending
9,-50.3155973425719,61.6484790477818,-171.144395977896,70.5132012927525,uw,diab_cardiac,spending
-4,-34.1720674782046,24.2808046626962,-81.7615701327412,13.4174351763321,uw,all,spending
-3,-16.8144853155918,16.9276406796086,-49.9920513908598,16.3630807596762,uw,all,spending
-2,-5.77173579912778,15.2698686030328,-35.7001283097311,24.1566567114755,uw,all,spending
-1,0,,,,uw,all,spending
0,74.6645146871761,35.2049397177942,5.66410076239585,143.664928611956,uw,all,spending
1,134.536543988768,55.6112881096417,25.5404221599901,243.532665817546,uw,all,spending
2,164.705480984981,61.4031799039483,44.3574598370092,285.053502132954,uw,all,spending
3,129.227983184494,45.148845742739,40.7378715851706,217.718094783816,uw,all,spending
4,228.865470170489,69.4200755037605,92.8046223790672,364.926317961911,uw,all,spending
5,270.31384520921,129.256127207289,16.976491101795,523.651199316625,uw,all,spending
6,524.131958763808,164.792705291139,201.144191478252,847.119726049364,uw,all,spending
7,546.991854368485,153.673591659204,245.79714934153,848.186559395441,uw,all,spending
8,771.164869353459,174.831849146227,428.500741676314,1113.8289970306,uw,all,spending
9,765.608055018984,203.344443862593,367.060268591975,1164.15584144599,uw,all,spending
-4,-0.0117467572578076,0.00364915667288534,-0.0188989729106069,-0.00459454160500833,uw,obesity,rx
-3,-0.00760810788734534,0.00222101851617451,-0.011961224188044,-0.0032549915866467,uw,obesity,rx
-2,-0.00394177653909522,0.00161407274809244,-0.00710530099378399,-0.000778252084406456,uw,obesity,rx
-1,0,,,,uw,obesity,rx
0,0.0474458749739348,0.0141247208371079,0.0197619308415208,0.0751298191063488,uw,obesity,rx
1,0.113242643681532,0.0273401889412575,0.0596568580261469,0.166828429336917,uw,obesity,rx
2,0.112381842757381,0.0200788151750723,0.0730280881620033,0.151735597352759,uw,obesity,rx
3,0.100640526460744,0.0205531307591646,0.060357130403239,0.140923922518249,uw,obesity,rx
4,0.141764088522667,0.0248396920034202,0.0930791868088953,0.190448990236438,uw,obesity,rx
5,0.251640525816584,0.0539091968279234,0.145980441598374,0.357300610034795,uw,obesity,rx
6,0.371256200483659,0.0855523790421232,0.203576618769378,0.53893578219794,uw,obesity,rx
7,0.4277599259151,0.0970753646336072,0.237495707447137,0.618024144383063,uw,obesity,rx
8,0.566803437448183,0.121446918452375,0.328771851248154,0.804835023648211,uw,obesity,rx
9,0.684723457091474,0.144667127997751,0.401181096469037,0.968265817713912,uw,obesity,rx
-4,-0.0203535672358193,0.0222034618110922,-0.0638715527176704,0.0231644182460319,uw,diab_cardiac,rx
-3,-0.0129241850026638,0.0142438660224337,-0.0408416494072475,0.01499327940192,uw,diab_cardiac,rx
-2,-0.00398892611025481,0.014529157338549,-0.0324655512195267,0.024487698999017,uw,diab_cardiac,rx
-1,0,,,,uw,diab_cardiac,rx
0,0.0138276222417044,0.0187409605926152,-0.0229039855555057,0.0505592300389146,uw,diab_cardiac,rx
1,-0.00183215912413104,0.0311266687543174,-0.0628393088413013,0.0591749905930392,uw,diab_cardiac,rx
2,0.0325014539782273,0.0434373557057422,-0.0526341987886828,0.117637106745138,uw,diab_cardiac,rx
3,0.00822370566714348,0.0341358198743301,-0.0586812718692901,0.075128683203577,uw,diab_cardiac,rx
4,0.0458264315967476,0.0466720835574613,-0.0456491712593205,0.137302034452816,uw,diab_cardiac,rx
5,-0.0557327590245542,0.0926329943418619,-0.237290091714706,0.125824573665598,uw,diab_cardiac,rx
6,0.0494701690378498,0.0696251965790083,-0.0869927086735278,0.185933046749227,uw,diab_cardiac,rx
7,0.0112369892757869,0.0608365977746619,-0.1080005513045,0.130474529856074,uw,diab_cardiac,rx
8,0.082479004947448,0.0845924994816249,-0.08331924739876,0.248277257293656,uw,diab_cardiac,rx
9,-0.0686278575227739,0.0603554490089143,-0.18692236385099,0.0496666488054418,uw,diab_cardiac,rx
-4,-0.0321003244935945,0.0226264686607387,-0.0764473881659666,0.0122467391787777,uw,all,rx
-3,-0.0205322928899729,0.0144447952933639,-0.0488435714290199,0.007778985649074,uw,all,rx
-2,-0.00793070264932538,0.0148000353810848,-0.0369382389661702,0.0210768336675194,uw,all,rx
-1,0,,,,uw,all,rx
0,0.0612734972156748,0.0296942163097303,0.00307390269946144,0.119473091731888,uw,all,rx
1,0.111410484557434,0.0492729936000551,0.014837191690853,0.207983777424014,uw,all,rx
2,0.144883296735641,0.0536344410244728,0.0397617239967364,0.250004869474545,uw,all,rx
3,0.108864232127923,0.0417927011720392,0.026952043014081,0.190776421241764,uw,all,rx
4,0.187590520119453,0.0605801384911774,0.0688556304982971,0.30632540974061,uw,all,rx
5,0.195907766792065,0.120606755505042,-0.0404771302900449,0.432292663874174,uw,all,rx
6,0.420726369521548,0.137736070655238,0.150768631665217,0.690684107377879,uw,all,rx
7,0.438996915190925,0.128195988507115,0.18773739475447,0.690256435627381,uw,all,rx
8,0.64928244239567,0.14778615752177,0.359626896239437,0.938937988551903,uw,all,rx
9,0.616095599568734,0.173296965551101,0.276439788458497,0.95575141067897,uw,all,rx
-4,-11.6320255374312,3.7952009771657,-19.0704827667672,-4.19356830809522,uw,obesity,net_spending
-3,-7.41803733200004,2.26096944339397,-11.8494560111978,-2.98661865280229,uw,obesity,net_spending
-2,-3.80852120867621,1.49966757267677,-6.74781563990528,-0.869226777447139,uw,obesity,net_spending
-1,0,,,,uw,obesity,net_spending
0,45.9810376917681,13.9122625925551,18.7135040668962,73.2485713166399,uw,obesity,net_spending
1,108.612149207747,26.8291912606461,56.0279006025435,161.19639781295,uw,obesity,net_spending
2,107.397544369805,20.4586012117049,67.2994228207959,147.495665918814,uw,obesity,net_spending
3,95.7550914971432,20.0078840313233,56.5403593888954,134.969823605391,uw,obesity,net_spending
4,131.818145900663,24.3460802618835,84.1007054226502,179.535586378676,uw,obesity,net_spending
5,236.173381788989,51.9028511579541,134.445662824456,337.901100753523,uw,obesity,net_spending
6,346.467762647029,82.3621565209201,185.040902176975,507.894623117083,uw,obesity,net_spending
7,395.185027348915,92.2695170146243,214.340097129346,576.029957568485,uw,obesity,net_spending
8,516.929081523597,114.398275372744,292.712581899524,741.14558114767,uw,obesity,net_spending
9,619.074129753245,132.752801982819,358.883419020141,879.264840486348,uw,obesity,net_spending
-4,-3.52234797294568,15.1732052056617,-33.2612837060783,26.2165877601869,uw,diab_cardiac,net_spending
-3,3.09893306345202,11.855066654009,-20.1365706127274,26.3344367396315,uw,diab_cardiac,net_spending
-2,3.23735770006715,9.05631671087837,-14.5126968858427,20.987412285977,uw,diab_cardiac,net_spending
-1,0,,,,uw,diab_cardiac,net_spending
0,2.24791879654549,9.69475755650782,-16.7534568530574,21.2492944461484,uw,diab_cardiac,net_spending
1,-17.5471641715531,24.2572482216147,-65.0904970499661,29.99616870686,uw,diab_cardiac,net_spending
2,0.565643469498355,34.8673341956217,-67.7730757908421,68.9043627298388,uw,diab_cardiac,net_spending
3,-13.3762912322318,27.262800080777,-66.8103975082704,40.0578150438069,uw,diab_cardiac,net_spending
4,24.8758492376164,36.762439640449,-47.1772084414913,96.9289069167241,uw,diab_cardiac,net_spending
5,-34.9742765301317,64.5098268262817,-161.41121375856,91.4626606982962,uw,diab_cardiac,net_spending
6,43.6668814656223,56.5849506604682,-67.2375838958712,154.571346827116,uw,diab_cardiac,net_spending
7,21.1185556816445,49.5785860162455,-76.0536873146178,118.290798677907,uw,diab_cardiac,net_spending
8,64.4876504659014,66.005350076815,-64.880458471614,193.855759403417,uw,diab_cardiac,net_spending
9,-32.2824644234688,47.7019700829007,-125.776607777561,61.2116789306236,uw,diab_cardiac,net_spending
-4,-15.154373510366,17.0309776218858,-48.5344762707698,18.2257292500379,uw,all,net_spending
-3,-4.31910426853301,12.9613578657479,-29.7228988761338,21.0846903390678,uw,all,net_spending
-2,-0.571163508595419,9.56413751553367,-19.3165285822298,18.174201565039,uw,all,net_spending
-1,0,,,,uw,all,net_spending
0,48.2289564883249,19.6743220122373,9.6679939240962,86.7899190525536,uw,all,net_spending
1,91.0649850362042,40.5467317053836,11.594851202844,170.535118869564,uw,all,net_spending
2,107.963187839317,43.4585273277799,22.7860394557192,193.140336222916,uw,all,net_spending
3,82.3788002649226,32.1382225650241,19.389041510343,145.368559019502,uw,all,net_spending
4,156.693995138289,49.2341323264572,60.1968689683539,253.191121308225,uw,all,net_spending
5,201.19910525887,94.3055848341018,16.363555443044,386.034655074696,uw,all,net_spending
6,390.134644112662,124.835002689858,145.462534830579,634.806753394745,uw,all,net_spending
7,416.303583030568,120.354691418262,180.412722480343,652.194443580793,uw,all,net_spending
8,581.416731989508,135.970052365043,314.920326377998,847.913137601018,uw,all,net_spending
9,586.791665329786,156.833825783938,279.403015235638,894.180315423935,uw,all,net_spending
-4,0.741757243616291,0.514801991666993,-0.267236119220504,1.75075060645309,uw,ce,spending
-3,0.34066674214813,0.391911559645599,-0.427465799882165,1.10879928417843,uw,ce,spending
-2,-0.016870773638118,0.305161820427087,-0.614976951131888,0.581235403855652,uw,ce,spending
-1,0,,,,uw,ce,spending
0,0.0119290327170916,0.400601666591278,-0.773235805948535,0.797093871382718,uw,ce,spending
1,-0.306515872385546,0.954673011249298,-2.17764059144657,1.56460884667548,uw,ce,spending
2,-1.03544722331077,1.58813586595884,-4.14813632314643,2.07724187652489,uw,ce,spending
3,-0.379027220645014,2.10560095842855,-4.50592926497799,3.74787482368796,uw,ce,spending
